Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
3XTRIM,Navigator 600,TR55,L,0,L,L,
3XTRIM,450 Ultra,UL45,L,0,L,L,
A2 CZ,Ellipse Spirit,ELSP,L,600,L,L,
AAK,Bushman,BMAN,L,0,L,L,
AAK,Hornet,HRNT,L,0,L,L,
AAK,Wasp,WSP,L,0,L,L,
AASI,Jetcruzer,JCRU,L,1950,L,L,
ABHCO,Gazelle,GAZL,L,1900,L,L,
ABHCO,SA-342 Gazelle,GAZL,L,1900,L,L,
ACBA,Midour 2,MIDR,L,0,L,L,
ACEAIR,A-200 Aeris 200,ARKS,L,0,L,L,
ACES HIGH,Cuby 2,CUB2,L,0,L,L,
ACS,Sora,SORA,L,600,L,L,
ADA,LCA Tejas,LCA,M,12500,L,L,
ADAM (2),CarbonAero,A500,L,3175,L,L,
ADAM (2),AdamJet,A700,L,3447,L,L,
AEA,Maverick,MAVR,L,0,L,L,
AERMACCHI,AL-60 Turbine Grizzly,LA6T,L,2037,L,L,
AERO (1),Commander 520,AC52,L,2585,L,L,
AERO (2),L-159,L159,M,8000,L,L,
AERO (2),Delfin,L29,L,3540,L,L,
AERO (2),Albatros,L39,L,5700,L,L,
AERO (2),L-59,L59,L,0,L,L,
AERO (3),AT-3,AAT3,L,630,L,L,
AERO BOERO,AB-115,AB11,L,770,L,L,
AERO BOERO,AB-150,AB15,L,1001,L,L,
AERO BOERO,AB-180,AB18,L,890,L,L,
AERO BOERO,AB-95,AB95,L,700,L,L,
AERO COMMANDER,Commander 560,AC56,L,2948,L,L,
AERO COMMANDER,Commander 680FP,AC68,L,4264,L,L,
AERO COMMANDER,Alti Cruiser,AC72,L,3402,L,L,
AERO ELI,Yo-Yo,R22,L,621,L,L,
AERO ITBA,Petrel,PETL,L,565,L,L,
AERO KUHLMANN,Scub,SCUB,L,0,L,L,
AERO MIRAGE,TC-2,TC2,L,0,L,L,
AERO SERVICES,Guêpe,GEPE,L,0,L,L,
AERO SERVICES,Super Guepard,GUEP,L,0,L,L,
AERO SPACELINES,377SGT Super Guppy,SGUP,M,77111,M,LM,
AEROALCOOL,Quasar Lite,QUAS,L,530,L,L,
AEROANDINA,MXP-158 Embera,MX58,L,473,L,L,
AEROCAR,Aerocar,CAR,L,953,L,L,
AEROCOMP,CA-10 Comp Air 10,CA1P,L,0,L,L,
