CALLSIGN,SSR INDICATION,ICAO 3LD,UNIT OR OPERATOR,FORCE,ACFT TYPE,COUNTRY,SOURCE REMARK,OPERATIONAL NOTE,LOCATION NOTE2,ETYMOLOGY NOTE,MISCELLANEOUS NOTE,ASSOCIATED FIXED CALLSIGN,APPROVED CONTRACTION,TAXONOMY,SENSITIVITY,SOURCE,,,,,,,,,,,,,,,,,
ABACUS,ABCUS,-,JOINT FORCE AIR COMPONENT HEADQUARTERS,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,RESERVE WORD CALLSIGN POOL,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ABBOT,N/A,-,15 SQUADRON,ROYAL AIR FORCE,N/A,UNITED KINGDOM,,,,,DISBANDED 2015,U,U,1,,,,,,,,,,,,,,,,,,,
ACORN,N/A,N/A,INTELLIGENCE STAFF,MINISTRY OF DEFENCE,N/A,UNITED KINGDOM,,,,,RADIO APPOINTMENT TITLE,U,N/A,2,,ACP125,,,,,,,,,,,,,,,,,
ACORN,ACORN,-,UNIVERSITY OF BIRMINGHAM AIR SQUADRON,ROYAL AIR FORCE,G115,UNITED KINGDOM,FORMATION,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ACROBAT,ACRBT,,HEADQUARTERS AIR COMMAND (RESERVE WORD CALLSIGN POOL),ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,RESERVED FOR  2 GROUP EXERCISES.,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ACTON,ACTON,-,67TH SPECIAL OPERATIONS SQUADRON,UNITED STATES AIR FORCE EUROPE,C30J,UNITED KINGDOM,,,MILDENHALL,,,U,U,1,,,,,,,,,,,,,,,,,,,
ADAPT,ADAPT,-,493RD FIGHTER SQUADRON,UNITED STATES AIR FORCE EUROPE,F35,UNITED KINGDOM,,,LAKENHEATH,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ADEPT,ADEPT,-,47 SQUADRON,ROYAL AIR FORCE,N/A,UNITED KINGDOM,,,DISBANDED JUNE 2023,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
ADOBEE,ADOBE,-,HANDLING SQUADRON RAF,ROYAL AIR FORCE,VARIOUS,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
AFGHAN,AFGHAN,-,60 SQUADRON,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
AFGHAN,AFGHN,-,60 SQUADRON,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
AFGHAN,AFGHAN,-,60 SQUADRON,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
AFGHAN,AFGHN,-,60 SQUADRON,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,N,1,,,,,,,,,,,,,,,,,,,
AFGHAN,AFGAN,-,60 SQUADRON,ROYAL AIR FORCE,EC35,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
AFGHAN,AFGAN,-,60 SQUADRON,ROYAL AIR FORCE,EC45,UNITED KINGDOM,,,,,,U,Y,1,,JSP506,,,,,,,,,,,,,,,,,
AGGRESSOR,AGGRES,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
AGGRESSOR,AGGRESO,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
AGGRESSOR,AGGROR,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
AGGRESSOR,AGGRSR,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
AGGRESSOR,AGGSOR,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
AGGRESSOR,AGGSR,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
AGGRESSOR,AGRESR,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
AGGRESSOR,AGRRSR,-,100 SQUADRON,ROYAL AIR FORCE,HAWK,UNITED KINGDOM,,,DISBANDED MARCH 2022,,,U,N,1,,,,,,,,,,,,,,,,,,,
