TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
QID,-,QUID,100TH AIR REFUELING WING,"U.S. AIR FORCE 100TH AIR REFUELING WING, RAF MILDENHALL",UNITED STATES OF AMERICA
BTB,-,-,158TH FIGHTER WING,UNITED STATES AIR NATIONAL GUARDS 158 FIGHTER WING,UNITED STATES OF AMERICA
TNG,-,-,164TH AIRLIFT GROUP,"TENNESSEE AIR NATIONAL GUARD, 164TH AIRLIFT GROUP",UNITED STATES OF AMERICA
HCR,-,HIGH SCORE,1903 AVIATION,1903 AVIATION AB,SWEDEN
RNX,-,NEXTIME,1TIME,1 TIME AIRLINE (PTY) LTD,SOUTH AFRICA
CSB,2I,CARGO SOUTH,21 AIR,"21-AIR, LLC",UNITED STATES OF AMERICA
TFU,-,-,213 FLIGHT UNIT,213 FLIGHT UNIT,RUSSIAN FEDERATION
CHD,-,CHKALOVSK-AVIA,223RD AVIATION UNIT,"223RD AVIATION UNIT, RUAF",RUSSIAN FEDERATION
TTF,-,CARGO UNIT,224TH AVIATION UNIT,"224TH AVIATION UNIT, RUAF",RUSSIAN FEDERATION
TWF,-,CLOUD RUNNER,24/7 JET,247 JET LTD,UNITED KINGDOM
EMC,-,NIGHTINGALE,247 AVIATION,247 AVIATION LIMITED,UNITED KINGDOM
ONY,4Q,ONLY JET,25ONLY,25ONLY AVIATION GMBH,GERMANY
GFR,-,GUNFIGHTER,29(R) SQUADRON,"29(R) SQUADRON, RAF",UNITED KINGDOM
BRO,-,BROADSWORD,2EXCEL,2 EXCEL AVIATION LTD,UNITED KINGDOM
HKY,-,HERKY,314TH AIRLIFT WING,US AIR FORCE 314AW,UNITED STATES OF AMERICA
NOH,-,NORTHOLT,32 (THE ROYAL) SQUADRON,"32 (THE ROYAL) SQUADRON, RAF",UNITED KINGDOM
EVY,-,-,34 SQUADRON,"34 SQUADRON, ROYAL AUSTRALIAN AIR FORCE",AUSTRALIA
SEC,-,SECUREX,3D AVIATION,"3D AVIATION, INC. (HELENA, MT)",UNITED STATES OF AMERICA
DAK,-,DUCK AIRWAYS,4 AIRWAYS,4 AIRWAYS,MALTA
-,Q5,-,40-MILE AIR,"40-MILE AIR, LTD",UNITED STATES OF AMERICA
PIU,-,PRIMA,43 AIR SCHOOL,43 AIR SCHOOL,SOUTH AFRICA
AKG,-,GRIFTER,84 SQUADRON,84 SQN RAF AKROTIRI,UNITED KINGDOM
SAM,-,SAM,89TH AIRLIFT WING,USAF S 89TH AIRLIFT WING- ANDREWS AIR FORCE BASE,UNITED STATES OF AMERICA
JYH,AQ,TRANS JADE,9 AIR,"NINE AIR CO., LTD.",CHINA
ABZ,-,ISLAND LIFEFLIGHT,AAS LIFEFLIGHT,AIR AMBULANCE SERVICES LIMITED,BAHAMAS
XXV,-,-,AASANA,ADMINISTRACION DE AEROPUERTOS Y SERVICIOS AUXILIARES A LA NAVEGACION AEREA (AASANA),BOLIVIA
CIK,Y6,-,AB AVIATION,AB AVIATION,COMOROS
FTD,-,FORTITUDE,AB JETS,"ANDREW BETTIS AVIATION, LLC DBA AB JETS",UNITED STATES OF AMERICA
BBE,-,BABEL AIR,ABABEEL AVIATION,ABABEEL AVIATION CO. LTD,SUDAN
ABJ,-,ABAETE,ABAETÃ‰ LINHAS AÃ‰REAS,ATA - AEROTAXI ABAETE LTDS,BRAZIL
ABJ,-,ABAETE,ABAETÉ LINHAS AÉREAS,ATA - AEROTAXI ABAETE LTDS,BRAZIL
NKP,-,ABAKAN AIR,ABAKAN AIR,ABAKAN AIR,RUSSIAN FEDERATION
ABE,-,ABAN,ABAN AIR,ABAN AIR,IRAN
MRP,-,ABAS,ABAS,ABAS,CZECHIA
AHU,-,ABC HUNGARY,ABC AIR,ABC AIR HUNGARY LTD,HUNGARY
AAB,-,ABELAG,ABELAG,ABELAG AVIATION SA,BELGIUM
BDV,-,ABERDAV,ABERDAIR AVIATION,ABERDAIR AVIATION LIMITED,KENYA
ROH,-,+,ABERDAIR AVIATION,ABERDAIR AVIATION GH LTD,GHANA
ABP,-,BAIR,ABS JETS,ABS JETS,CZECHIA
TTN,-,TITANIUM,ABSOLUTE AVIATION,ABSOLUTE FLIGHT SERVICES (PTY) LTD,SOUTH AFRICA
BAR,-,BARAKAH,ABU DHABI AVIATION,ABU DHABI AVIATION,UNITED ARAB EMIRATES
ABX,GB,ABEX,ABX AIR,"ABX AIR, INC. (WILMINGTON, OH)",UNITED STATES OF AMERICA
