ICAO CODE,IATA CODE,ALTERNATIVE CODE,LOCATION SERVED,AIRPORT,ALTERNATIVE NAME,HISTORICAL NAME,COUNTRY,TYPE,USER,NOTES,ICAO REGION,LAT/LONG
-,AGH,-,ANGELHOLM/HELSINGBORG,AIRPORT,-,,,,,-,-,
-,BJZ,-,BADAJOZ,AIRPORT,-,,,,,-,-,
-,BCN,-,BARCELONA,AIRPORT,-,,,,,-,-,
-,BTC,-,BATTICALOA,AIRPORT,-,,,,,-,-,
-,APX,-,ARAPONGAS,ALBERTO BERTELLI,-,,,,,-,-,
-,AYP,-,AYACUCHO,ALFREDO M. DUARTE,-,,,,,-,-,
-,AOP,-,ANDOAS,ALFREDO V. SARA BAUER,-,,,,,-,-,
-,ASV,-,AMBOSELI,AMBOSELI,-,,,,,-,-,
-,AZZ,-,AMBRIZ,AMBRIZ,-,,,,,-,-,
-,AMV,-,AMDERMA,AMDERMA,-,,,,,-,-,
-,RCN,-,AMERICAN RIVER,AMERICAN RIVER,-,,,,,-,-,
-,AEM,-,AMGU,AMGU,-,,,,,-,-,
-,AMX,-,AMMAROO,AMMAROO,-,,,,,-,-,
-,AMP,-,AMPANIHY,AMPANIHY,-,,,,,-,-,
-,AAO,-,ANACO,ANACO,-,,,,,-,-,
-,OTS,-,ANACORTES,ANACORTES,-,,,,,-,-,
-,YAA,-,ANAHIM LAKE,ANAHIM LAKE,-,,,,,-,-,
-,AKP,-,ANAKTUVUK PASS,ANAKTUVUK PASS,-,,,,,-,-,
-,HVA,-,ANALALAVA,ANALALAVA,-,,,,,-,-,
-,APS,-,ANAPOLIS,ANAPOLIS,-,,,,,-,-,
-,AUY,-,ANATOM ISLAND,ANATOM ISLAND,-,,,,,-,-,
-,ANS,-,ANDAHUAYLAS,ANDAHUAYLAS,-,,,,,-,-,
-,ADO,-,ANDAMOOKA,ANDAMOOKA,-,,,,,-,-,
-,ZWA,-,ANDAPA,ANDAPA,-,,,,,-,-,
-,DVD,-,ANDAVADOAKA,ANDAVADOAKA,-,,,,,-,-,
-,ADN,-,ANDES,ANDES,-,,,,,-,-,
-,AZN,-,ANDIZHAN,ANDIZHAN,-,,,,,-,-,
-,ANX,-,ANDENES,ANDOYA,-,,,,,-,-,
-,WAD,-,ANDRIAMENA,ANDRIAMENA,-,,,,,-,-,
-,ANL,-,ANDULO,ANDULO,-,,,,,-,-,
-,AXX,-,ANGEL FIRE,ANGEL FIRE,-,,,,,-,-,
-,AGD,-,ANGGI,ANGGI,-,,,,,-,-,
-,ANO,-,ANGOCHE,ANGOCHE,-,,,,,-,-,
-,AGG,-,ANGORAM,ANGORAM,-,,,,,-,-,
-,GDR,-,ANGRA DOS REIS,ANGRA DOS REIS,-,,,,,-,-,
-,AKG,-,ANGUGANAK,ANGUGANAK,-,,,,,-,-,
-,ANZ,-,ANGUS DOWNS STATION,ANGUS DOWNS STATION,-,,,,,-,-,
-,AWD,-,ANIWA ISLAND,ANIWA ISLAND,-,,,,,-,-,
-,WBE,-,BEALANANA,ANKAIZINA,-,,,,,-,-,
-,JVA,-,ANKAVANDRA,ANKAVANDRA,-,,,,,-,-,
-,NKO,-,ANKOKOAMBO,ANKOKOAMBO,-,,,,,-,-,
-,VBA,-,ANN,ANN,-,,,,,-,-,
-,NAI,-,ANNAI,ANNAI,-,,,,,-,-,
-,AOB,-,ANNANBERG,ANNANBERG,-,,,,,-,-,
-,ANN,-,ANNETTE ISLAND,ANNETTE ISLAND,-,,,,,-,-,
-,NBN,-,ANNOBON,ANNOBON,-,,,,,-,-,
-,AYT,-,ANTALYA,ANTALYA,-,,,,,-,-,
-,AYL,-,ANTHONY LAGOON,ANTHONY LAGOON,-,,,,,-,-,
-,WAQ,-,ANTSALOVA,ANTSALOVA,-,,,,,-,-,
-,ACJ,-,ANURADHAPURA,ANURADHAPURA,-,,,,,-,-,
-,ANV,-,ANVIK,ANVIK,-,,,,,-,-,
-,AYN,-,ANYANG,ANYANG,-,,,,,-,-,
-,AOJ,-,AOMORI,AOMORI,-,,,,,-,-,
-,AAS,-,APALAPSILI,APALAPSILI,-,,,,,-,-,
-,APK,-,APATAKI,APATAKI,-,,,,,-,-,
-,APB,-,APOLO,APOLO,-,,,,,-,-,
-,APR,-,APRIL RIVER,APRIL RIVER,-,,,,,-,-,
-,IUP,-,APUI,APUI,-,,,,,-,-,
-,ARW,-,ARAD,ARAD,-,,,,,-,-,
-,ARS,-,ARAGARCAS,ARAGARCAS,-,,,,,-,-,
-,ARP,-,ARAGIP,ARAGIP,-,,,,,-,-,
-,AUX,-,ARAGUAINA,ARAGUAINA,-,,,,,-,-,
-,AJK,-,ARAK,ARAK,-,,,,,-,-,
-,AXC,-,ARAMAC,ARAMAC,-,,,,,-,-,
-,ADI,-,ARANDIS,ARANDIS,-,,,,,-,-,
-,APQ,-,ARAPIRACA,ARAPIRACA,-,,,,,-,-,
-,RAE,-,ARAR,ARAR,-,,,,,-,-,
-,ACR,-,ARARACUARA,ARARACUARA,-,,,,,-,-,
-,ARY,-,ARARAT,ARARAT,-,,,,,-,-,
-,ASS,-,ARATHUSA SAFARI LODGE,ARATHUSA SAFARI LODGE,-,,,,,-,-,
-,RKA,-,ARATIKA,ARATIKA-NORD,-,,,,,-,-,
-,RAW,-,ARAWA,ARAWA,-,,,,,-,-,
-,AAX,-,ARAXA,ARAXA,-,,,,,-,-,
-,AMH,-,ARBA MINCH,ARBA MINCH,-,,,,,-,-,
-,ARO,-,ARBOLETES,ARBOLETES,-,,,,,-,-,
-,YAB,-,ARCTIC BAY,ARCTIC BAY,-,,,,,-,-,
-,ARC,-,ARCTIC VILLAGE,ARCTIC VILLAGE,-,,,,,-,-,
-,AMZ,-,ARDMORE,ARDMORE,-,,,,,-,-,
-,OSD,-,ARE/OSTERSUND,ARE/OSTERSUND,-,,,,,-,-,
-,GYL,-,ARGYLE,ARGYLE,-,,,,,-,-,
-,XAR,-,ARIBINDA,ARIBINDA,-,,,,,-,-,
-,ACM,-,ARICA,ARICA,-,,,,,-,-,
-,AIR,-,ARIPUANA,ARIPUANA,-,,,,,-,-,
-,AQM,-,ARIQUEMES,ARIQUEMES,-,,,,,-,-,
-,AYK,-,ARKALYK,ARKALYK,-,,,,,-,-,
-,RLT,-,ARLIT,ARLIT,-,,,,,-,-,
-,ARL,-,ARLY,ARLY,-,,,,,-,-,
-,ARM,-,ARMIDALE,ARMIDALE,-,,,,,-,-,
-,YYW,-,ARMSTRONG,ARMSTRONG,-,,,,,-,-,
-,AOA,-,AROA,AROA,-,,,,,-,-,
-,AON,-,ARONA,ARONA,-,,,,,-,-,
-,AIS,-,ARORAE,ARORAE,-,,,,,-,-,
-,DIE,-,ANTSIRANANA,ARRACHART,-,,,,,-,-,
-,ARJ,-,ARSO,ARSO,-,,,,,-,-,
-,ATC,-,ARTHUR'S TOWN,ARTHUR'S TOWN,-,,,,,-,-,
-,ATI,-,ARTIGAS,ARTIGAS,-,,,,,-,-,
-,RUA,-,ARUA,ARUA,-,,,,,-,-,
-,ARK,-,ARUSHA,ARUSHA,-,,,,,-,-,
-,AXR,-,ARUTUA,ARUTUA,-,,,,,-,-,
-,AVK,-,ARVAIKHEER,ARVAIKHEER,-,,,,,-,-,
-,YEK,-,ARVIAT,ARVIAT,-,,,,,-,-,
-,AJR,-,ARVIDSJAUR,ARVIDSJAUR,-,,,,,-,-,
-,AKJ,-,ASAHIKAWA,ASAHIKAWA,-,,,,,-,-,
-,APP,-,ASAPA,ASAPA,-,,,,,-,-,
-,AAU,-,ASAU,ASAU,-,,,,,-,-,
-,ASC,-,ASCENSION,ASCENSION,-,,,,,-,-,
-,ALK,-,ASELA,ASELA,-,,,,,-,-,
-,ASG,-,ASHBURTON,ASHBURTON,-,,,,,-,-,
-,ASZ,-,ASIRIM,ASIRIM,-,,,,,-,-,
-,ASO,-,ASOSA,ASOSA,-,,,,,-,-,
-,ASF,-,ASTRAKHAN,ASTRAKHAN,-,,,,,-,-,
-,OVD,-,ASTURIAS,ASTURIAS,-,,,,,-,-,
-,JTY,-,ASTYPALAIA ISLAND,ASTYPALAIA ISLAND,-,,,,,-,-,
-,ATZ,-,ASYUT,ASYUT,-,,,,,-,-,
