ICAO CODE,IATA CODE,ALTERNATIVE CODE,LOCATION SERVED,AIRPORT,ALTERNATIVE NAME,HISTORICAL NAME,COUNTRY,TYPE,USER,NOTES,ICAO REGION
BGAA,JEG,-,AASIAAT (EGEDESMINDE),AASIAAT AIRPORT,-,-,GREENLAND,,,-,B
BGAC,-,-,GREENLAND AIR,MARITIME RESCUE COORDINATOR CENTRE,JRCC GREENLAND,-,GREENLAND,ADMINISTRATIVE,DUAL,SEARCH AND RESCUE COORDINATION CENTRE,B
BGAG,AOQ,-,"AAPPILATTOQ, AVANNAATA",AAPPILATTOQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGAK,QCU,-,AKUNNAAQ,AKUNNAAQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGAM,AGM,-,TASIILAQ,TASIILAQ HELIPORT (AMMASSALIK HELIPORT),-,-,GREENLAND,HELIPORT,,-,B
BGAP,LLU,-,ALLUITSUP PAA (SYDPRØVEN),ALLUITSUP PAA HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGAQ,QUV,-,"AAPPILATTOQ, KUJALLEQ",AAPPILATTOQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGAS,QUW,-,AMMASSIVIK (SLETTEN),AMMASSIVIK HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGAT,QGQ,-,ATTU,ATTU HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGAU,-,-,AAPPALUTTOQ,AAPPALUTTOQ AERODROME,-,-,GREENLAND,,PRIVATE,-,B
BGBW,UAK,-,NARSARSUAQ,NARSARSUAQ AIRPORT,MITTARFIK NARSARSUAQ,NARSARSUAQ AIR BASE,GREENLAND,LAND AIRPORT,PUBLIC,-,B
BGCH,JCH,-,QASIGIANNGUIT (CHRISTIANSHÅB),QASIGIANNGUIT HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGCO,CNP,-,JAMESON LAND,NERLERIT INAAT AIRPORT,CONSTABLE PYNT LUFTHAVN,-,GREENLAND,LAND AIRPORT,PUBLIC,-,B
BGDB,-,-,DANEBORG,DANEBORG AIRPORT,-,-,GREENLAND,,,-,B
BGDH,-,-,DANMARKSHAVN,DANMARKSHAVN AERODROME,-,-,GREENLAND,LAND AIRPORT,PRIVATE,-,B
BGET,QFG,-,EQALUGAARSUIT,EQALUGAARSUIT HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGFD,QFN,-,NARSAQ KUJALLEQ (FREDERIKSDAL),NARSAQ KUJALLEQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGGH,GOH,-,NUUK (GODTHÅB),NUUK AIRPORT,-,-,GREENLAND,,,-,B
BGGL,-,-,NUUK FIR,EN ROUTE AIR TRAFFIC CONTROL CENTER,-,-,GREENLAND,AIR TRAFFIC CONTROL,DUAL,-,B
BGGN,JGO,-,QEQERTARSUAQ (GODHAVN),QEQERTARSUAQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGIA,IKE,-,IKERASAK,IKERASAK HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGIG,QFI,-,IGINNIARFIK,IGINNIARFIK HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGIK,QRY,-,IKERASAARSUK,IKERASAARSUK HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGIL,XIQ,-,ILIMANAQ (CLAUSHAVN),ILIMANAQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGIN,IUI,-,INNAARSUIT,INNAARSUIT HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGIO,QFX,-,IGALIKU,IGALIKU HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGIS,IOQ,-,ISERTOQ,ISORTOQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGIT,QJI,-,IKAMIUT,IKAMIUT HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGJH,JJU,-,QAQORTOQ (JULIANEHÅB),QAQORTOQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGJN,JAV,-,ILULISSAT (JAKOBSHAVN),ILULISSAT AIRPORT,-,-,GREENLAND,,,-,B
BGKA,QPW,-,KANGAATSIAQ,KANGAATSIAQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
BGKK,KUS,-,KULUSUK,KULUSUK AIRPORT,-,-,GREENLAND,,,-,B
BGKL,UPK,-,UPERNAVIK KUJALLEQ (SØNDRE UPERNAVIK),UPERNAVIK KUJALLEQ HELIPORT,-,-,GREENLAND,HELIPORT,,-,B
